Token,Symbol,Contract,PairId,Price,MarketCap_raw,Liquidity_raw,FDV_raw,MarketCap,Liquidity,FDV
Digital Oil Memecoin,00,HYXqAHgiKL2bPV8Bej18ugAMnL5mtu6bE98mVwVDDX8D,ExqAx4uFdec5xjd6rYywMuHkm85kWkQwcVPzpMcWqVPX,$0.001080,1080794473.0,4323178.13,1080794473.0,$1.1B,$4.3M,$1.1B
The White Whale,00,9Rrem7RmLBDNhGetQVpfiUkoKHBbSS2zU3LARC8kcjWc,DH4YWCnwBMFHq4ZPkVkfvVruSE5r7EmKRRJmdz2vUwmC,$0.071690,71699642857.0,286798571.63,71699642857.0,$71.7B,$286.8M,$71.7B
POPCAT,00,7C56weR2cp21E2hn6riLybg5dtsRKRU7FcJU6zwsRjq5,3pGbJDUeMPoQTnY8mFbKZR5prJDMbrrtKDJr8sXk2efT,$0.088080,88032742516.0,352330889.61,88032742516.0,$88.0B,$352.3M,$88.0B
PimpFun,00,HZPhnS3cjBZknYV4tVm7w52TsJjVztRf2qNiVXfT54Jj,HLagxeFwhYuMK8ifanRvaSyBpD8tDwXeEYAjVem52aS6,$0.000441,440934683.0,1763738.94,440934683.0,$440.9M,$1.8M,$440.9M
titcoin,titcoin,FtUEW73K6vEYHfbkfpdBZfWpxgQar2HipGdbutEhpump,4qQM2x2pfhU3ToscAqkQxTfhTm7DmJe8LGWU9kvqeNH4,$0.001646,1563699.0,550988.44,1646926.0,$1.6M,$551K,$1.6M
Virtual Protocol,VIRTUAL,0x0b3e328455c4059EEb9e3f84b5543F74E24e7E1b,0xC200F21EfE67c7F41B81A854c26F9cdA80593065,$1.057000,693522434.0,471377.97,1057035478.0,$693.5M,$471K,$1.1B
snowball,00,5XosjiprbjmyV2VsLxpS1VWWZ6iFxyrAVzQdnNiZzvTH,9zEeUpPrhzP9tQtVbVTppVCWCo6ZU24P7dc1Z4ePZ5N5,$0.001609,1609746159.0,6438984.84,1609746159.0,$1.6B,$6.4M,$1.6B
trencher,TRENCHER,8ncucXv6U6epZKHPbgaEBcEK399TpHGKCquSt4RnmX4f,6WwcmiRJFPDNdFmtgVQ8eY1zxMzLKGLrYuUtRy4iZmye,$0.001578,1577838.0,396592.24,1577838.0,$1.6M,$397K,$1.6M
The Spirit of Gambling,Tokabu,H8xQ6poBjB9DTPMDTKWzWPrnxu4bDEhybxiouF8Ppump,Ekv9HdumWqnXZgq5G6ge6bk1ZRHKXYC2WnSFL94sQmLJ,$0.003653,3648751.0,444107.03,3648751.0,$3.6M,$444K,$3.6M
Tradagotchi,AI,BaXuCw8whfZtJVY46BZbeAVR9eVW6o75tVMiMRW2B7kr,8fc4XCrFh6YHqUKZPTWMq4WT6M1q7sKMg8PoJdjUeX36,$0.000097,97047942.0,388412.16,97047942.0,$97.0M,$388K,$97.0M
Fartcoin ,Fartcoin ,9BB6NFEcjBCtnNLFko2FqVQBq8HHM13kCyYcdQbgpump,Bzc9NZfMqkXR6fz1DBph7BDf9BroyEf6pnzESP7v5iiw,$0.380800,380896491.0,12677267.73,380896491.0,$380.9M,$12.7M,$380.9M
Sachicoin,SACHI,7Y2TPeq3hqw21LRTCi4wBWoivDngCpNNJsN1hzhZpump,J3s2eaBdxaTEJd9NgHAvsRv88PuGSQWmrggyWxoEL587,$0.003287,3233601.0,257738.26,3233601.0,$3.2M,$258K,$3.2M
Avici,AVICI,BANKJmvhT8tiJRsBSS1n2HryMBPvT5Ze4HU95DUAmeta,7gj8L6q7kePSTUuJpx6Es4Z9FkWaKnW1YfKzYwnQFtVB,$2.490000,32216511.0,153407.03,32216511.0,$32.2M,$153K,$32.2M
Teddy Batman,Teddy Bat,ENgSDTZjZHLrXkYbQP3j3vzD9ANdnc8VCs9yxi1cMi55,6K86RRMKLWotny1gJjCZfNZSr7AEGzwNwEsFdjrPfu7g,$0.063160,63168921.0,229061.35,63168921.0,$63.2M,$229K,$63.2M
Housecoin,House,DitHyRMQiSDhn5cnKMJV2CDDt6sVct96YrECiM49pump,Gj5t6KjTw3gWW7SrMHEi1ojCkaYHyvLwb17gktf96HNH,$0.002428,2424961.0,592229.55,2424961.0,$2.4M,$592K,$2.4M
zauthx402,ZAUTH,DNhQZ1CE9qZ2FNrVhsCXwQJ2vZG8ufZkcYakTS5Jpump,5XbRDoL7YpKYwUKSfBZBFiJaipUtVXrFVtyVXoVSeKsQ,$0.002663,2530693.0,175740.18,2663893.0,$2.5M,$176K,$2.7M
Wojak ,WOJAK,8J69rbLTzWWgUJziFY8jeu5tDwEPBwUz4pKBMr5rpump,63ChtT5vH7YBnryKQJLUfRgY4ju7McntSq2v5UuHkuZH,$0.039250,39256557.0,884530.96,39258192.0,$39.3M,$885K,$39.3M
The Official 67 Coin,67,9AvytnUKsLxPxFHFqS6VLxaxt5p6BhYNr53SD2Chpump,Da6gBAjx2G4V1zbk7DNkKfDAzk3VVxS3aCoe5QN3TbxJ,$0.019900,19902035.0,140881.98,19902035.0,$19.9M,$141K,$19.9M
Pepe,PEPE,0x6982508145454Ce325dDbE47a25d4ec3d2311933,0x11950d141EcB863F01007AdD7D1A342041227b58,$0.000007,2776879888.0,3821775.96,2776879888.0,$2.8B,$3.8M,$2.8B
testicle,testicle,4TyZGqRLG3VcHTGMcLBoPUmqYitMVojXinAmkL8xpump,E616WShkSjxnyToCExYLhNWxyYraFqs1RTQz1gZ9ZDUk,$0.000737,737400.0,128447.14,737400.0,$737K,$128K,$737K
just memecoin,00,3oe8WY2EBvJr8rN8q14Gk6k6RBSzCM6uDFajCxB2xYzz,DfD96v39kmG7dDKPMqFQt89RPZX1skgjavLzwiD3MM6n,$0.000785,7849873866.0,3139949.75,7849873866.0,$7.8B,$3.1M,$7.8B
Stonks,STNK,43VWkd99HjqkhFTZbWBpMpRhjG469nWa7x7uEsgSH7We,EyktEFod1gAgsuM1hXmEpqkitFFk9XczkqLPx2vKiceg,$19.640000,11432304.0,582876.26,11432304.0,$11.4M,$583K,$11.4M
Baby Doge Coin,BabyDoge,7dUKUopcNWW6CcU4eRxCHh1uiMh32zDrmGf6ufqhxann,8ssUoNgsmob23argRdQayyMJbvy41hZxwzvXnviFnSvU,$0.000000,127980159.0,314981.51,214190072.0,$128.0M,$315K,$214.2M
